Name,Description,Price,PictureUrl,ProductTypeId,ProductBrandId
Angular Speedster Board 2000,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.",200.00,images/products/sb-ang1.png,1,1
Green Angular Board 3000,Nunc viverra imperdiet enim. Fusce est. Vivamus a tellus.,150.00,images/products/sb-ang2.png,2,1
Core Board Speed Rush 3,"Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.",180.00,images/products/sb-core1.png,3,2
Net Core Super Board,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.,300.00,images/products/sb-core2.png,4,2
React Board Supper Whizzy Fast,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.",250.00,images/products/sb-react1.png,4,4
Typescript Entry Board,Aenean nec lorem. In porttitor. Donec laoreet nonummy augue.,120.00,images/products/sb-ts1.png,5,5
Core Maroon Hat,"Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.",10.00,images/products/hat-core1.png,7,2
Greaan React Woolen Hat,"Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.",8.00,images/products/hat-react1.png,6,4
Blue React Woolen Hat,"Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.",15.00,images/products/hat-react2.png,7,4
Bliue Code Gloves,Nunc viverra imperdiet enim. Fusce est. Vivamus a tellus.,18.00,images/products/glove-code1.png,10,3
Green Code Gloves,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.,15.00,images/products/glove-code2.png,8,3
Purple React Gloves,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. ",16.00,images/products/glove-react1.png,12,4
Green React Gloves,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.,14.00,images/products/glove-react2.png,4,4
Redis Red Boots,"Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.",250.00,images/products/boot-redis1.png,5,6
Core Red Boots,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet commodo magna eros quis urna.",189.99,images/products/boot-core2.png,15,2
Core Purple Boots,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Proin pharetra nonummy pede. Mauris et orci.,199.99,images/products/boot-core1.png,6,2
Angular Purple Boots,Aenean nec lorem. In porttitor. Donec laoreet nonummy augue.,150.00,images/products/boot-ang2.png,7,1
Angular Blue Boots,"Suspendisse dui purus, scelerisque at, vulputate vitae, pretium mattis, nunc. Mauris eget neque at sem venenatis eleifend. Ut nonummy.",180.00,images/products/boot-ang1.png,18,2
